gene,importance,rank
IGHA1,0.03695387091799441,1
JCHAIN,0.03392779134849982,2
IGHA2,0.0261526332424495,3
IGKC,0.025564172107841503,4
IGLC2,0.017783491397331142,5
CCL20,0.00882032419228349,6
CXCL8,0.008351123063445641,7
S100A11,0.0076163210242303344,8
S100P,0.006955960173013209,9
TFF3,0.0068389044809287515,10
LCN2,0.006744212701479917,11
S100A6,0.006225748319679922,12
CLDN4,0.006114664836761227,13
KRT18,0.005421063359321715,14
IGLC3,0.005381427416646703,15
GAPDH,0.005323800489060642,16
GPX2,0.005222835817659408,17
LYZ,0.005002622401757497,18
FOS,0.004815560421730615,19
FOSB,0.004323071241423451,20
ZFP36,0.004057036638606805,21
CXCL3,0.003990656926950658,22
AGR2,0.003985766551145936,23
PLPP2,0.003984922342534904,24
LMNA,0.003803543457095932,25
TMSB10,0.00370299211650162,26
KRT8,0.003688183265346996,27
IGHG4,0.003514913138381349,28
CEACAM5,0.0034431191102358995,29
PPP1R1B,0.0033316356001818885,30
MAL2,0.003297874596381069,31
TGFBI,0.0031745768551363946,32
GUCA2B,0.003134524737999932,33
EREG,0.0030929125355288,34
ACTB,0.0030447356048996246,35
REG1A,0.0030234544127734995,36
MUC13,0.0030089714428335203,37
CFD,0.0029836458059294873,38
CCL3L3,0.00291580398219248,39
IGHM,0.002870271395584319,40
CXCL1,0.002803161185343965,41
EIF4EBP1,0.0027972454780603832,42
SPP1,0.002795973297080134,43
IGHG1,0.002786862463736968,44
SCD,0.002754408621351636,45
CXCL2,0.00272807523129802,46
PFN1,0.0026864991180694537,47
EPCAM,0.0026846479484460128,48
KRT19,0.002657506067128059,49
PKP3,0.002619200187727641,50
TSPO,0.0025888532891664654,51
PHGR1,0.0025766246661143217,52
CCL4L2,0.0025112687659662805,53
DUSP4,0.002498381517970976,54
ELF3,0.0024924589100018325,55
TXN,0.0024523706298064467,56
OAZ1,0.0024125191496719082,57
CTSB,0.002384998249767273,58
IGHG3,0.002377419570968209,59
ZG16,0.0023119558150834735,60
SERPINA1,0.002305915319236944,61
TSPAN8,0.0022916076924727573,62
MYADM,0.0022653178038974033,63
PDZK1IP1,0.002239369916686956,64
DSP,0.0022336006224626427,65
CLIC1,0.002191649991665927,66
ELOB,0.0021708735993642577,67
GSN,0.002169387457327591,68
IL1B,0.0021494223565775524,69
GPRC5A,0.002143496270592464,70
PHLDA2,0.002137077387305096,71
IER3,0.0021162823536468372,72
C12orf75,0.002085112226188688,73
CCL3,0.002079583528057969,74
S100A14,0.0020772113112856455,75
SH3BGRL3,0.002032132473705495,76
B2M,0.0019762900753935576,77
CD24,0.0019716152172436015,78
